Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Location of event,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Type of education facility,Attacks on Schools,Attacks on Universities,Military Occupation of Education facility,Arson attack on education facility,Forced Entry into education facility,Damage/Destruction To Ed facility Event,Attacks on Students and Teachers,Educators Killed,Educators Injured,Educators Kidnapped,Educators Arrested,Students Attacked in School,Students Killed,Students Injured,Students Kidnapped,Students Arrested,Sexual Violence Affecting School Age Children,SiND Event ID
7/27/24,"27 July 2024: A field hospital within a school was hit in an Israeli airstrike, killing 31 Palestinians and injuring over 100 others. The facility, situated in a supposedly safe area, shelters thousands of displaced individuals.",OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,0,TRUE,0,0,0,0,131,0,0,0,0,0,64390
7/27/24,"27 July 2024: Educational institutions, a transformer substation and other civilian infrastructure were damaged when Russian forces hit the city with an FAB-500 aerial bomb with a universal planning and correction module UMPK (bomb kit)._x000D_
",Ukraine,UKR,Donetsk Oblast,48.30791,37.2591,(2) 25 km Precision ,Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,70525
7/27/24,"27 July 2024: A school was bombarded by an Israeli aircraft._x000D_
",OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,69598
7/27/24,"27 July 2024: A teacher, her husband and four of their children were killed in an Israeli airstrike. ",OPT,PSE,Gaza Strip,0,0,censored,Unspecified Location,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Not Applicable,0,0,0,0,0,0,FALSE,1,0,0,0,0,0,0,0,0,0,69632
7/26/24,As reported in July 2024: A professor was killed inside their home during an attack on the city by the RSF. ,Sudan,SDN,Sennar State,13.3246176,33.8904559,"(3) District, Communicipality or Commune ",Home,Vigilante,Rapid Support Forces,Firearms,Not Applicable,0,0,0,0,0,0,FALSE,1,0,0,0,0,0,0,0,0,0,71843
7/23/24,"July 2024: Medical equipment was looted and the faculties of medicine and laboratories vandalised at a university, by the RSF.",Sudan,SDN,Gezira State,14.4323112,33.4940106,(2) 25 km Precision ,Education Building ,Vigilante,Rapid Support Forces,Firearms,University,0,1,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,67322
7/22/24,22 July 2024: An elementary school and other civilian infrastructure were destroyed when Russian shelling launched two Iskander-M missiles at the city.,Ukraine,UKR,Kharkiv Oblast,50.1070567,36.1205802,(2) 25 km Precision ,Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Missile,Primary School,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,70524
7/22/24,July 2024: A girls government school was hit and partially destroyed by explosives launched by TTP militants. A teacher was also killed.,Pakistan,PAK,Khyber Pakhtunkhwa,32.97130515,70.26465074,"(3) District, Communicipality or Commune ",Education Building ,NSA,TTP Tehrik-i-Taliban Pakistan,Unspecified Explosive,School: No Further Details,1,0,0,0,0,1,TRUE,1,0,0,0,1,0,0,0,0,0,71712
7/21/24,July 2024: A school was hit by rockets by Hezbollah forces in Lebanon causing significant damage.,Israel,ISR,North District,33.2303715,35.6392634,(2) 25 km Precision ,Education Building ,NSA,Hezbollah,Rocket,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,69697
7/21/24,July 2024: The playground of a kindergarten was hit by about three armed drones launched by Hezbollah forces in Lebanon.,Israel,ISR,North District,33.2303715,35.6392634,(2) 25 km Precision ,Education Building ,NSA,Hezbollah,Aerial Bomb: Drone,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,69698
7/20/24,July 2024: A teacher was kidnapped by unidentified perpetrators. His body was found the next day.,Pakistan,PAK,Khyber Pakhtunkhwa,32.2096916,70.3881146,(2) 25 km Precision ,Unspecified Location,No Information,No Information,Firearms,Not Applicable,0,0,0,0,0,0,FALSE,1,0,1,0,0,0,0,0,0,0,71711
7/20/24,20 July 2024: A school was damaged by Russian shelling.,Ukraine,UKR,Dnipropetrovsk Oblast,47.6490555,34.649194,(2) 25 km Precision ,Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Shelling,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,70523
7/20/24,20 July 2024: A kindergarten and other civilian infrastructure were damaged by Russia forces shelling. ,Ukraine,UKR,Sumy Oblast,50.7696518,34.3289305,"(4) Province, State, Governorate ",Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Shelling,Pre-School,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,61094
7/19/24,"19 July 2024: A school was hit in an Israeli airstrike, killing two people and injuring five.",OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,TRUE,0,0,0,0,7,0,0,0,0,0,69532
