Date,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Location of event,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Type of education facility,Attacks on Schools,Attacks on Universities,Military Occupation of Education facility,Arson attack on education facility,Forced Entry into education facility,Damage/Destruction To Ed facility Event,Attacks on Students and Teachers,Educators Killed,Educators Injured,Educators Kidnapped,Educators Arrested,Students Attacked in School,Students Killed,Students Injured,Students Kidnapped,Students Arrested,Sexual Violence Affecting School Age Children,SiND Event ID
3/8/24,Ukraine,UKR,Kherson Oblast,46.65820339,32.65148521,(2) 25 km Precision ,Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Rocket,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,78873
3/8/24,Myanmar,MMR,Mandalay,23.5025071,96.0152879,(2) 25 km Precision ,Education Building ,Other,Myanmar Armed Forces,Firearms,School: No Further Details,1,0,1,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,45921
3/7/24,Nigeria,NGA,Kaduna State,10.66960665,6.82575778,"(3) District, Communicipality or Commune ",Education Building ,NSA,Unidentified Armed Actor,Firearms,Primary School,1,0,0,0,0,0,TRUE,0,0,2,0,102,0,0,100,0,0,46672
3/7/24,Nigeria,NGA,Kaduna State,10.66960665,6.82575778,"(3) District, Communicipality or Commune ",Education Building ,NSA,Unidentified Armed Actor,Firearms,Secondary School,1,0,0,0,0,0,TRUE,0,0,1,0,188,0,0,187,0,0,46671
3/7/24,Myanmar,MMR,Yangon,16.7725831,96.1552616,(2) 25 km Precision ,Education Building ,NSA,Arakan Army,Aerial Bomb: No Information on Platform Type,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,46229
3/7/24,Ukraine,UKR,Sumy Oblast,50.9119775,34.8027723,(2) 25 km Precision ,Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Rocket,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,45533
3/6/24,Ukraine,UKR,Kharkiv Oblast,49.94437129,36.97010958,(2) 25 km Precision ,Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Aerial Bomb: Drone,Pre-School,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,46781
3/6/24,Ukraine,UKR,Sumy Oblast,50.9119775,34.8027723,"(3) District, Communicipality or Commune ",Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Aerial Bomb: Drone,Pre-School,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,46784
3/6/24,Ukraine,UKR,Sumy Oblast,50.9119775,34.8027723,(2) 25 km Precision ,Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Rocket,University,0,1,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,46789
3/6/24,Ukraine,UKR,Sumy Oblast,50.9119775,34.8027723,"(3) District, Communicipality or Commune ",Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Aerial Bomb: Drone,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,46786
3/4/24,Haiti,HTI,West,18.5775444,-72.2296219,"(3) District, Communicipality or Commune ",Education Building ,NSA,Unidentified Armed Actor,Firearms,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,47097
3/4/24,Ukraine,UKR,Kherson Oblast,46.6401295,32.6143922,"(3) District, Communicipality or Commune ",Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Artillery,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,46779
